,Date(UTC),ETHPerDay,NetworkDifficulty[TH/s],ETHPriceUSD,TotalBlocks,PowerCoast,Inflação,Multiple_GPUPrice,R$_DollarPrice,ETHPriceBRL,R$_GPUPrice,ETH/dia,USD_Revenue,USD_Coast,USD_Profit/day,USD_Profit/month,Indicador,Multiple_Difficulty/LastDifficulty,USD_GPUPrice,Pays_itself/months,Date
0,2015-07-30,39316.09375,0.121,0.0,6912.0,0.600839,0.6751,,3.3646,0.0,234.5280841529906,160.8385653409091,0.0,2.0188190400000003,-2.0188190400000003,-60.56457120000001,inf,1.2204710312122858e-05,69.70459613415878,-3.8723643130984566,2015-07-30
1,2015-07-31,36191.71875,0.603,0.0,6863.0,0.600839,0.6751,,3.3934,0.0,234.5280841529906,29.92173867657197,0.0,2.0188190400000003,-2.0188190400000003,-60.56457120000001,inf,6.082182081165358e-05,69.11300882683756,-3.8723643130984566,2015-07-31
2,2015-08-01,27705.9375,0.887,0.0,5293.0,0.600839,0.6751,,3.3934,0.0,234.5280841529906,20.190927286703783,0.0,2.0188190400000003,-2.0188190400000003,-60.56457120000001,inf,8.946758716407417e-05,69.11300882683756,-3.8723643130984566,2015-08-01
3,2015-08-02,28223.4375,1.02,0.0,5358.0,0.600839,0.6751,,3.3934,0.0,234.5280841529906,17.669162110532906,0.0,2.0188190400000003,-2.0188190400000003,-60.56457120000001,inf,0.00010288268196996129,69.11300882683756,-3.8723643130984566,2015-08-02
4,2015-08-03,27976.71875,1.126,0.0,5280.0,0.600839,0.6751,,3.4419,0.0,234.5280841529906,16.100278641207815,0.0,2.0188190400000003,-2.0188190400000003,-60.56457120000001,inf,0.00011357441166487881,68.13913366250925,-3.8723643130984566,2015-08-03
5,2015-08-04,28478.4375,1.217,0.0,5368.0,0.600839,0.6751,,3.4669,0.0,234.5280841529906,14.914956827458006,0.0,2.0188190400000003,-2.0188190400000003,-60.56457120000001,inf,0.00012275316074259108,67.64777875133133,-3.8723643130984566,2015-08-04
6,2015-08-05,27528.59375,1.328,0.0,5235.0,0.600839,0.6751,,3.4844,0.0,234.5280841529906,13.54809377912797,0.0,2.0188190400000003,-2.0188190400000003,-60.56457120000001,inf,0.0001339492173099104,67.30802552892625,-3.8723643130984566,2015-08-05
7,2015-08-06,27075.46875,1.381,0.0,5116.0,0.600839,0.6751,,3.5341,0.0,234.5280841529906,13.111751153117337,0.0,2.0188190400000003,-2.0188190400000003,-60.56457120000001,inf,0.00013929508215736915,66.36147368580136,-3.8723643130984566,2015-08-06
8,2015-08-07,27437.65625,1.471,2.77,5189.0,0.600839,0.6751,,3.5175,9.743475,234.5280841529906,12.298710981853969,119.8321829839196,2.0188190400000003,117.8133639439196,3534.400918317588,0.01684705218355997,0.00014837296586060105,66.67465078976278,0.06635582368075787,2015-08-07
9,2015-08-08,27943.4375,1.586,0.81,5256.0,0.600839,0.6751,,3.5175,2.8491750000000002,234.5280841529906,11.469123235847915,32.67753919549698,2.0188190400000003,30.658720155496983,919.7616046649094,0.06178002045754402,0.00015997248392584176,66.67465078976278,0.25498790443468733,2015-08-08
