,Date(UTC),Value
0,2015-07-30,6912.0
1,2015-07-31,6863.0
2,2015-08-01,5293.0
3,2015-08-02,5358.0
4,2015-08-03,5280.0
5,2015-08-04,5368.0
6,2015-08-05,5235.0
7,2015-08-06,5116.0
8,2015-08-07,5189.0
9,2015-08-08,5256.0
10,2015-08-09,5123.0
11,2015-08-10,5255.0
12,2015-08-11,5280.0
13,2015-08-12,5124.0
14,2015-08-13,5286.0
15,2015-08-14,5809.0
16,2015-08-15,5382.0
17,2015-08-16,5132.0
18,2015-08-17,5347.0
19,2015-08-18,4948.0
20,2015-08-19,5192.0
21,2015-08-20,4024.0
22,2015-08-21,5088.0
23,2015-08-22,5271.0
24,2015-08-23,5013.0
25,2015-08-24,5184.0
26,2015-08-25,5097.0
27,2015-08-26,5003.0
28,2015-08-27,4708.0
29,2015-08-28,4653.0
30,2015-08-29,4329.0
31,2015-08-30,4155.0
32,2015-08-31,4122.0
33,2015-09-01,3938.0
34,2015-09-02,3577.0
35,2015-09-03,3383.0
36,2015-09-04,4443.0
37,2015-09-05,4921.0
38,2015-09-06,4978.0
39,2015-09-07,4834.0
40,2015-09-08,4923.0
41,2015-09-09,5035.0
42,2015-09-10,5003.0
43,2015-09-11,5141.0
44,2015-09-12,5026.0
45,2015-09-13,4971.0
46,2015-09-14,4851.0
47,2015-09-15,4842.0
48,2015-09-16,4956.0
49,2015-09-17,4808.0
50,2015-09-18,4889.0
51,2015-09-19,5078.0
52,2015-09-20,5305.0
53,2015-09-21,5075.0
54,2015-09-22,5051.0
55,2015-09-23,5165.0
56,2015-09-24,5021.0
57,2015-09-25,5126.0
58,2015-09-26,4930.0
59,2015-09-27,4773.0
60,2015-09-28,4738.0
61,2015-09-29,4640.0
62,2015-09-30,4757.0
63,2015-10-01,5210.0
64,2015-10-02,5143.0
65,2015-10-03,5077.0
66,2015-10-04,4886.0
67,2015-10-05,5009.0
68,2015-10-06,4806.0
69,2015-10-07,5004.0
70,2015-10-08,5152.0
71,2015-10-09,4905.0
72,2015-10-10,4896.0
73,2015-10-11,5073.0
74,2015-10-12,5148.0
75,2015-10-13,5108.0
76,2015-10-14,4934.0
77,2015-10-15,4926.0
78,2015-10-16,4883.0
79,2015-10-17,5056.0
80,2015-10-18,4945.0
81,2015-10-19,4975.0
82,2015-10-20,4990.0
83,2015-10-21,4990.0
84,2015-10-22,4835.0
85,2015-10-23,5263.0
86,2015-10-24,5171.0
87,2015-10-25,5096.0
88,2015-10-26,4908.0
89,2015-10-27,5220.0
90,2015-10-28,4967.0
91,2015-10-29,5158.0
92,2015-10-30,5232.0
93,2015-10-31,5129.0
94,2015-11-01,5158.0
95,2015-11-02,5024.0
96,2015-11-03,5085.0
97,2015-11-04,5125.0
98,2015-11-05,5103.0
99,2015-11-06,5142.0
100,2015-11-07,4922.0
101,2015-11-08,5021.0
102,2015-11-09,5024.0
