,R$_DollarPrice,Date(UTC)
0,3.3646,2015-07-30
1,3.3934,2015-07-31
2,3.3934,2015-08-01
3,3.3934,2015-08-02
4,3.4419,2015-08-03
5,3.4669,2015-08-04
6,3.4844,2015-08-05
7,3.5341,2015-08-06
8,3.5175,2015-08-07
9,3.5175,2015-08-08
10,3.5175,2015-08-09
11,3.4903,2015-08-10
12,3.4919,2015-08-11
13,3.482,2015-08-12
14,3.5068,2015-08-13
15,3.4755,2015-08-14
16,3.4755,2015-08-15
17,3.4755,2015-08-16
18,3.4739,2015-08-17
19,3.4805,2015-08-18
20,3.4843,2015-08-19
21,3.4745,2015-08-20
22,3.489,2015-08-21
23,3.489,2015-08-22
24,3.489,2015-08-23
25,3.5488,2015-08-24
26,3.5339,2015-08-25
27,3.632,2015-08-26
28,3.5549,2015-08-27
29,3.5784,2015-08-28
30,3.5784,2015-08-29
31,3.5784,2015-08-30
32,3.6461,2015-08-31
33,3.6719,2015-09-01
34,3.7307,2015-09-02
35,3.7753,2015-09-03
36,3.798,2015-09-04
37,3.798,2015-09-05
38,3.798,2015-09-06
39,3.798,2015-09-07
40,3.8021,2015-09-08
41,3.7864,2015-09-09
42,3.8691,2015-09-10
43,3.8692,2015-09-11
44,3.8692,2015-09-12
45,3.8692,2015-09-13
46,3.8647,2015-09-14
47,3.8593,2015-09-15
48,3.8361,2015-09-16
49,3.8915,2015-09-17
50,3.9015,2015-09-18
51,3.9015,2015-09-19
52,3.9015,2015-09-20
53,3.9815,2015-09-21
54,4.0419,2015-09-22
55,4.1034,2015-09-23
56,4.1942,2015-09-24
57,3.9472,2015-09-25
58,3.9472,2015-09-26
59,3.9472,2015-09-27
60,4.0093,2015-09-28
61,4.1165,2015-09-29
62,3.9722,2015-09-30
63,3.9788,2015-10-01
64,4.0003,2015-10-02
65,4.0003,2015-10-03
66,4.0003,2015-10-04
67,3.9135,2015-10-05
68,3.8561,2015-10-06
69,3.8053,2015-10-07
70,3.8511,2015-10-08
71,3.738,2015-10-09
