,Date(UTC),Value
0,2015-07-30,39316.09375
1,2015-07-31,36191.71875
2,2015-08-01,27705.9375
3,2015-08-02,28223.4375
4,2015-08-03,27976.71875
5,2015-08-04,28478.4375
6,2015-08-05,27528.59375
7,2015-08-06,27075.46875
8,2015-08-07,27437.65625
9,2015-08-08,27943.4375
10,2015-08-09,27178.28125
11,2015-08-10,27817.34375
12,2015-08-11,28027.8125
13,2015-08-12,27370.9375
14,2015-08-13,28268.125
15,2015-08-14,31106.71875
16,2015-08-15,28512.65625
17,2015-08-16,27094.53125
18,2015-08-17,28118.90625
19,2015-08-18,26162.8125
20,2015-08-19,27282.03125
21,2015-08-20,21057.03125
22,2015-08-21,26690.9375
23,2015-08-22,27550.46875
24,2015-08-23,26255.625
25,2015-08-24,27333.28125
26,2015-08-25,26736.09375
27,2015-08-26,26137.96875
28,2015-08-27,24532.8125
29,2015-08-28,24225.15625
30,2015-08-29,22525.0
31,2015-08-30,21453.59375
32,2015-08-31,21293.4375
33,2015-09-01,20342.96875
34,2015-09-02,18387.34375
35,2015-09-03,17380.9375
36,2015-09-04,23081.875
37,2015-09-05,25629.0625
38,2015-09-06,26168.28125
39,2015-09-07,25460.46875
40,2015-09-08,25892.5
41,2015-09-09,26427.65625
42,2015-09-10,26444.21875
43,2015-09-11,27239.84375
44,2015-09-12,26401.09375
45,2015-09-13,26171.40625
46,2015-09-14,25588.125
47,2015-09-15,25615.3125
48,2015-09-16,26318.125
49,2015-09-17,25435.625
50,2015-09-18,25901.71875
51,2015-09-19,27179.6875
52,2015-09-20,27982.65625
53,2015-09-21,26651.875
54,2015-09-22,26370.3125
55,2015-09-23,27080.3125
56,2015-09-24,26385.78125
57,2015-09-25,27003.4375
58,2015-09-26,25910.3125
59,2015-09-27,25011.09375
60,2015-09-28,24714.21875
61,2015-09-29,24368.4375
62,2015-09-30,25093.75
63,2015-10-01,27422.03125
64,2015-10-02,26913.125
65,2015-10-03,26453.75
66,2015-10-04,25480.15625
67,2015-10-05,26136.875
68,2015-10-06,25036.5625
69,2015-10-07,26133.59375
70,2015-10-08,26782.1875
71,2015-10-09,25447.65625
72,2015-10-10,25499.6875
73,2015-10-11,26510.78125
74,2015-10-12,26800.0
75,2015-10-13,26668.28125
76,2015-10-14,25875.625
77,2015-10-15,25610.46875
78,2015-10-16,25441.40625
79,2015-10-17,26450.625
80,2015-10-18,25848.28125
81,2015-10-19,25966.71875
82,2015-10-20,26192.5
83,2015-10-21,26046.40625
84,2015-10-22,25330.78125
85,2015-10-23,27558.59375
86,2015-10-24,27115.0
87,2015-10-25,26814.21875
88,2015-10-26,25915.3125
89,2015-10-27,27526.25
90,2015-10-28,26348.4375
91,2015-10-29,27507.03125
92,2015-10-30,27723.90625
93,2015-10-31,27747.8125
94,2015-11-01,28180.15625
95,2015-11-02,27134.21875
96,2015-11-03,27605.78125
97,2015-11-04,27716.40625
98,2015-11-05,27291.40625
99,2015-11-06,27422.1875
100,2015-11-07,26715.3125
101,2015-11-08,27289.0625
102,2015-11-09,27059.53125
103,2015-11-10,27444.0625
104,2015-11-11,27826.5625
105,2015-11-12,28024.53125
106,2015-11-13,28185.15625
107,2015-11-14,28357.65625
108,2015-11-15,28120.15625
109,2015-11-16,27395.15625
110,2015-11-17,27793.59375
111,2015-11-18,27252.03125
112,2015-11-19,26563.4375
113,2015-11-20,25130.46875
114,2015-11-21,26782.1875
115,2015-11-22,26988.59375
116,2015-11-23,27272.34375
117,2015-11-24,26848.125
118,2015-11-25,26471.875
119,2015-11-26,26538.4375
120,2015-11-27,27886.875
121,2015-11-28,27207.96875
122,2015-11-29,27347.8125
123,2015-11-30,27356.25
124,2015-12-01,27542.8125
125,2015-12-02,26007.03125
126,2015-12-03,28063.28125
127,2015-12-04,26679.375
128,2015-12-05,26581.875
129,2015-12-06,26255.78125
130,2015-12-07,26718.90625
131,2015-12-08,26312.5
132,2015-12-09,28324.0625
133,2015-12-10,27477.34375
134,2015-12-11,27022.8125
135,2015-12-12,27206.5625
136,2015-12-13,27907.34375
137,2015-12-14,26708.59375
138,2015-12-15,27014.53125
139,2015-12-16,26457.34375
140,2015-12-17,26883.125
141,2015-12-18,26671.5625
142,2015-12-19,26694.53125
143,2015-12-20,26436.09375
144,2015-12-21,26457.8125
145,2015-12-22,27374.375
146,2015-12-23,27399.375
147,2015-12-24,26686.5625
148,2015-12-25,26803.59375
149,2015-12-26,26560.15625
150,2015-12-27,26853.75
151,2015-12-28,27057.96875
152,2015-12-29,26661.09375
153,2015-12-30,26736.25
154,2015-12-31,26912.03125
155,2016-01-01,26066.5625
156,2016-01-02,27383.90625
157,2016-01-03,27675.78125
158,2016-01-04,27420.625
159,2016-01-05,27839.21875
160,2016-01-06,27625.46875
161,2016-01-07,27022.1875
162,2016-01-08,27996.71875
163,2016-01-09,27595.78125
164,2016-01-10,27287.96875
165,2016-01-11,27005.15625
166,2016-01-12,25900.78125
167,2016-01-13,26535.3125
168,2016-01-14,26919.21875
169,2016-01-15,26797.34375
170,2016-01-16,26523.125
171,2016-01-17,26599.84375
172,2016-01-18,26620.15625
173,2016-01-19,26092.8125
174,2016-01-20,26542.5
175,2016-01-21,25919.21875
176,2016-01-22,26255.0
177,2016-01-23,25769.6875
178,2016-01-24,27242.96875
179,2016-01-25,25697.03125
180,2016-01-26,26989.21875
181,2016-01-27,26100.78125
182,2016-01-28,26564.6875
183,2016-01-29,26160.46875
184,2016-01-30,26193.125
185,2016-01-31,25681.875
186,2016-02-01,26431.25
187,2016-02-02,25868.4375
188,2016-02-03,27297.96875
189,2016-02-04,26562.34375
190,2016-02-05,26558.59375
191,2016-02-06,26345.78125
192,2016-02-07,26684.6875
193,2016-02-08,26655.0
194,2016-02-09,26471.09375
195,2016-02-10,26161.25
196,2016-02-11,26477.8125
197,2016-02-12,26502.03125
198,2016-02-13,26881.5625
199,2016-02-14,26329.0625
200,2016-02-15,26225.3125
201,2016-02-16,26445.78125
202,2016-02-17,25672.03125
203,2016-02-18,26214.84375
204,2016-02-19,26655.46875
205,2016-02-20,26560.78125
206,2016-02-21,26536.5625
207,2016-02-22,26757.8125
208,2016-02-23,26170.0
209,2016-02-24,26426.875
210,2016-02-25,26823.75
211,2016-02-26,26654.0625
212,2016-02-27,26199.84375
213,2016-02-28,26422.03125
214,2016-02-29,25229.53125
215,2016-03-01,26481.09375
216,2016-03-02,26644.21875
217,2016-03-03,26111.25
218,2016-03-04,25885.3125
219,2016-03-05,26582.1875
220,2016-03-06,25399.6875
221,2016-03-07,25985.46875
222,2016-03-08,25823.125
