,Date(UTC),Value
0,2015-07-30,0.0
1,2015-07-31,0.0
2,2015-08-01,0.0
3,2015-08-02,0.0
4,2015-08-03,0.0
5,2015-08-04,0.0
6,2015-08-05,0.0
7,2015-08-06,0.0
8,2015-08-07,2.77
9,2015-08-08,0.81
10,2015-08-09,0.74
11,2015-08-10,0.68
12,2015-08-11,1.06
13,2015-08-12,1.25
14,2015-08-13,1.78
15,2015-08-14,1.8
16,2015-08-15,1.79
17,2015-08-16,1.37
18,2015-08-17,1.2
19,2015-08-18,1.27
20,2015-08-19,1.26
21,2015-08-20,1.48
22,2015-08-21,1.44
23,2015-08-22,1.39
24,2015-08-23,1.35
25,2015-08-24,1.24
26,2015-08-25,1.17
27,2015-08-26,1.16
28,2015-08-27,1.13
29,2015-08-28,1.3
30,2015-08-29,1.18
31,2015-08-30,1.32
32,2015-08-31,1.35
33,2015-09-01,1.35
34,2015-09-02,1.29
35,2015-09-03,1.26
36,2015-09-04,1.27
37,2015-09-05,1.37
38,2015-09-06,1.3
39,2015-09-07,1.24
40,2015-09-08,1.23
41,2015-09-09,1.21
42,2015-09-10,1.16
43,2015-09-11,0.98
44,2015-09-12,1.04
45,2015-09-13,0.94
46,2015-09-14,0.87
47,2015-09-15,0.94
48,2015-09-16,0.9
49,2015-09-17,0.89
50,2015-09-18,0.85
51,2015-09-19,0.89
52,2015-09-20,0.94
53,2015-09-21,0.9
54,2015-09-22,0.9
55,2015-09-23,0.9
56,2015-09-24,0.81
57,2015-09-25,0.74
58,2015-09-26,0.78
59,2015-09-27,0.72
60,2015-09-28,0.59
61,2015-09-29,0.68
62,2015-09-30,0.72
63,2015-10-01,0.68
64,2015-10-02,0.68
65,2015-10-03,0.69
66,2015-10-04,0.67
67,2015-10-05,0.63
68,2015-10-06,0.66
69,2015-10-07,0.61
70,2015-10-08,0.62
71,2015-10-09,0.65
72,2015-10-10,0.63
73,2015-10-11,0.63
74,2015-10-12,0.63
75,2015-10-13,0.6
76,2015-10-14,0.51
77,2015-10-15,0.56
78,2015-10-16,0.53
79,2015-10-17,0.55
80,2015-10-18,0.52
81,2015-10-19,0.49
82,2015-10-20,0.44
83,2015-10-21,0.44
84,2015-10-22,0.59
85,2015-10-23,0.52
86,2015-10-24,0.57
87,2015-10-25,0.65
88,2015-10-26,0.74
89,2015-10-27,0.87
90,2015-10-28,1.01
91,2015-10-29,1.16
92,2015-10-30,1.04
93,2015-10-31,0.89
94,2015-11-01,1.05
95,2015-11-02,0.96
96,2015-11-03,1.0
97,2015-11-04,0.87
98,2015-11-05,0.89
99,2015-11-06,0.92
100,2015-11-07,0.92
101,2015-11-08,1.02
102,2015-11-09,1.0
103,2015-11-10,0.92
104,2015-11-11,0.78
105,2015-11-12,0.89
106,2015-11-13,0.89
107,2015-11-14,0.89
108,2015-11-15,0.9
109,2015-11-16,0.94
110,2015-11-17,1.0
111,2015-11-18,0.99
112,2015-11-19,0.95
113,2015-11-20,0.93
114,2015-11-21,0.97
115,2015-11-22,0.96
116,2015-11-23,0.94
117,2015-11-24,0.91
118,2015-11-25,0.86
119,2015-11-26,0.88
120,2015-11-27,0.87
121,2015-11-28,0.91
122,2015-11-29,0.87
123,2015-11-30,0.88
124,2015-12-01,0.87
125,2015-12-02,0.83
126,2015-12-03,0.82
127,2015-12-04,0.84
128,2015-12-05,0.85
129,2015-12-06,0.84
130,2015-12-07,0.8
131,2015-12-08,0.83
132,2015-12-09,0.79
133,2015-12-10,0.84
134,2015-12-11,0.91
135,2015-12-12,0.97
136,2015-12-13,0.96
137,2015-12-14,0.99
138,2015-12-15,1.01
139,2015-12-16,0.99
140,2015-12-17,0.94
141,2015-12-18,0.91
142,2015-12-19,0.9
143,2015-12-20,0.9
144,2015-12-21,0.89
145,2015-12-22,0.87
146,2015-12-23,0.85
147,2015-12-24,0.85
148,2015-12-25,0.87
149,2015-12-26,0.85
150,2015-12-27,0.85
151,2015-12-28,0.84
152,2015-12-29,0.87
153,2015-12-30,0.9
154,2015-12-31,0.93
155,2016-01-01,0.93
156,2016-01-02,0.93
157,2016-01-03,0.97
158,2016-01-04,0.95
159,2016-01-05,0.95
160,2016-01-06,0.96
161,2016-01-07,0.95
162,2016-01-08,0.99
163,2016-01-09,0.99
164,2016-01-10,0.99
165,2016-01-11,1.05
166,2016-01-12,1.23
167,2016-01-13,1.13
168,2016-01-14,1.16
169,2016-01-15,1.22
170,2016-01-16,1.22
171,2016-01-17,1.31
172,2016-01-18,1.47
173,2016-01-19,1.37
174,2016-01-20,1.53
175,2016-01-21,1.54
176,2016-01-22,1.52
177,2016-01-23,2.03
178,2016-01-24,2.1
179,2016-01-25,2.5
180,2016-01-26,2.3
181,2016-01-27,2.42
182,2016-01-28,2.55
183,2016-01-29,2.41
184,2016-01-30,2.43
185,2016-01-31,2.2
186,2016-02-01,2.17
187,2016-02-02,2.45
188,2016-02-03,2.53
189,2016-02-04,2.57
190,2016-02-05,2.57
191,2016-02-06,2.53
192,2016-02-07,3.0
193,2016-02-08,3.16
194,2016-02-09,3.76
195,2016-02-10,4.35
196,2016-02-11,6.38
197,2016-02-12,5.27
198,2016-02-13,5.22
199,2016-02-14,5.2
200,2016-02-15,5.22
201,2016-02-16,4.25
202,2016-02-17,3.86
203,2016-02-18,4.36
204,2016-02-19,4.45
205,2016-02-20,4.37
206,2016-02-21,4.63
207,2016-02-22,5.6
208,2016-02-23,5.7
209,2016-02-24,6.23
210,2016-02-25,5.93
211,2016-02-26,6.03
212,2016-02-27,6.31
213,2016-02-28,6.5
214,2016-02-29,6.35
215,2016-03-01,7.59
216,2016-03-02,8.7
217,2016-03-03,9.35
218,2016-03-04,9.96
219,2016-03-05,11.0
220,2016-03-06,10.98
221,2016-03-07,9.5
222,2016-03-08,9.88
223,2016-03-09,11.55
224,2016-03-10,11.11
225,2016-03-11,11.25
226,2016-03-12,13.25
227,2016-03-13,15.0
228,2016-03-14,12.5
229,2016-03-15,13.09
230,2016-03-16,12.92
231,2016-03-17,11.14
232,2016-03-18,10.75
233,2016-03-19,10.55
234,2016-03-20,10.06
235,2016-03-21,11.97
236,2016-03-22,10.96
237,2016-03-23,12.29
238,2016-03-24,11.13
239,2016-03-25,10.69
240,2016-03-26,11.0
241,2016-03-27,10.5
242,2016-03-28,11.58
243,2016-03-29,11.73
244,2016-03-30,11.88
245,2016-03-31,11.41
246,2016-04-01,11.63
247,2016-04-02,11.61
248,2016-04-03,11.58
249,2016-04-04,11.1
250,2016-04-05,10.39
251,2016-04-06,10.79
252,2016-04-07,10.08
253,2016-04-08,9.74
254,2016-04-09,9.16
255,2016-04-10,8.8
256,2016-04-11,8.72
257,2016-04-12,7.54
258,2016-04-13,8.02
259,2016-04-14,8.48
260,2016-04-15,8.22
261,2016-04-16,8.48
262,2016-04-17,9.45
263,2016-04-18,8.92
264,2016-04-19,8.77
265,2016-04-20,8.54
266,2016-04-21,8.16
267,2016-04-22,7.83
268,2016-04-23,8.31
269,2016-04-24,8.0
