,Date(UTC),Value
0,2015-07-30,0.121
1,2015-07-31,0.603
2,2015-08-01,0.887
3,2015-08-02,1.02
4,2015-08-03,1.126
5,2015-08-04,1.217
6,2015-08-05,1.328
7,2015-08-06,1.381
8,2015-08-07,1.471
9,2015-08-08,1.586
10,2015-08-09,1.709
11,2015-08-10,1.838
12,2015-08-11,2.036
13,2015-08-12,2.207
14,2015-08-13,2.337
15,2015-08-14,2.671
16,2015-08-15,3.378
17,2015-08-16,3.632
18,2015-08-17,3.908
19,2015-08-18,4.378
20,2015-08-19,4.42
21,2015-08-20,4.469
22,2015-08-21,4.415
23,2015-08-22,4.828
24,2015-08-23,5.138
25,2015-08-24,5.179
26,2015-08-25,5.173
27,2015-08-26,5.587
28,2015-08-27,5.925
29,2015-08-28,6.251
30,2015-08-29,6.658
31,2015-08-30,6.781
32,2015-08-31,7.214
33,2015-09-01,7.641
34,2015-09-02,8.284
35,2015-09-03,8.355
36,2015-09-04,6.47
37,2015-09-05,6.235
38,2015-09-06,6.305
39,2015-09-07,6.339
40,2015-09-08,6.077
41,2015-09-09,6.202
42,2015-09-10,6.29
43,2015-09-11,6.562
44,2015-09-12,6.833
45,2015-09-13,7.022
46,2015-09-14,6.626
47,2015-09-15,6.419
48,2015-09-16,6.179
49,2015-09-17,6.04
50,2015-09-18,5.653
51,2015-09-19,5.548
52,2015-09-20,6.202
53,2015-09-21,6.541
54,2015-09-22,6.624
55,2015-09-23,6.895
56,2015-09-24,7.029
57,2015-09-25,6.977
58,2015-09-26,7.227
59,2015-09-27,7.253
60,2015-09-28,6.747
61,2015-09-29,6.057
62,2015-09-30,5.625
63,2015-10-01,5.653
64,2015-10-02,5.982
65,2015-10-03,6.291
66,2015-10-04,6.206
67,2015-10-05,6.285
68,2015-10-06,6.276
69,2015-10-07,5.984
70,2015-10-08,5.978
71,2015-10-09,6.123
72,2015-10-10,6.032
73,2015-10-11,6.139
74,2015-10-12,6.145
75,2015-10-13,6.357
76,2015-10-14,6.482
77,2015-10-15,6.209
78,2015-10-16,5.815
79,2015-10-17,6.004
80,2015-10-18,5.974
81,2015-10-19,5.922
82,2015-10-20,5.835
83,2015-10-21,5.876
84,2015-10-22,5.734
85,2015-10-23,5.879
86,2015-10-24,6.288
87,2015-10-25,6.589
88,2015-10-26,6.541
89,2015-10-27,6.542
90,2015-10-28,6.846
91,2015-10-29,7.04
92,2015-10-30,7.429
93,2015-10-31,7.793
94,2015-11-01,7.781
95,2015-11-02,7.69
96,2015-11-03,7.333
97,2015-11-04,7.743
98,2015-11-05,7.582
99,2015-11-06,7.592
100,2015-11-07,7.55
101,2015-11-08,7.709
102,2015-11-09,7.754
103,2015-11-10,7.76
104,2015-11-11,7.673
105,2015-11-12,7.746
106,2015-11-13,7.87
107,2015-11-14,7.913
108,2015-11-15,8.26
109,2015-11-16,8.327
110,2015-11-17,8.153
111,2015-11-18,8.55
112,2015-11-19,8.807
113,2015-11-20,7.975
114,2015-11-21,7.601
115,2015-11-22,7.533
116,2015-11-23,7.566
117,2015-11-24,7.665
118,2015-11-25,7.517
119,2015-11-26,7.498
120,2015-11-27,7.47
121,2015-11-28,7.721
122,2015-11-29,7.721
123,2015-11-30,7.781
124,2015-12-01,7.873
125,2015-12-02,7.818
126,2015-12-03,7.588
127,2015-12-04,7.833
128,2015-12-05,8.164
129,2015-12-06,7.852
130,2015-12-07,7.648
131,2015-12-08,7.548
132,2015-12-09,7.35
133,2015-12-10,7.773
134,2015-12-11,8.06
135,2015-12-12,8.045
136,2015-12-13,8.472
137,2015-12-14,8.576
138,2015-12-15,8.769
139,2015-12-16,8.562
140,2015-12-17,8.734
141,2015-12-18,8.78
142,2015-12-19,8.719
143,2015-12-20,8.54
144,2015-12-21,8.513
145,2015-12-22,8.74
146,2015-12-23,8.532
147,2015-12-24,8.569
148,2015-12-25,8.546
149,2015-12-26,8.456
150,2015-12-27,8.589
151,2015-12-28,8.532
152,2015-12-29,8.605
153,2015-12-30,8.478
154,2015-12-31,8.543
155,2016-01-01,8.547
156,2016-01-02,8.147
157,2016-01-03,8.312
158,2016-01-04,8.334
159,2016-01-05,8.306
160,2016-01-06,8.423
161,2016-01-07,8.21
162,2016-01-08,8.302
163,2016-01-09,8.433
164,2016-01-10,8.337
165,2016-01-11,8.828
166,2016-01-12,8.89
167,2016-01-13,8.484
168,2016-01-14,8.735
169,2016-01-15,8.996
170,2016-01-16,9.202
171,2016-01-17,9.068
172,2016-01-18,9.454
173,2016-01-19,9.539
174,2016-01-20,9.414
175,2016-01-21,9.598
176,2016-01-22,9.897
177,2016-01-23,10.059
178,2016-01-24,10.133
179,2016-01-25,10.33
180,2016-01-26,10.611
181,2016-01-27,10.82
182,2016-01-28,10.449
183,2016-01-29,10.883
184,2016-01-30,10.876
185,2016-01-31,10.696
186,2016-02-01,10.917
187,2016-02-02,10.674
188,2016-02-03,10.857
189,2016-02-04,11.114
190,2016-02-05,11.176
191,2016-02-06,10.867
192,2016-02-07,11.05
193,2016-02-08,11.54
194,2016-02-09,11.245
195,2016-02-10,11.659
196,2016-02-11,11.994
197,2016-02-12,11.553
198,2016-02-13,12.097
199,2016-02-14,12.497
200,2016-02-15,12.875
201,2016-02-16,12.696
202,2016-02-17,12.722
203,2016-02-18,12.182
204,2016-02-19,12.651
205,2016-02-20,12.814
206,2016-02-21,12.959
207,2016-02-22,13.432
208,2016-02-23,13.784
209,2016-02-24,13.623
210,2016-02-25,13.574
211,2016-02-26,14.049
212,2016-02-27,14.565
213,2016-02-28,14.737
214,2016-02-29,14.937
215,2016-03-01,14.453
216,2016-03-02,14.99
217,2016-03-03,15.599
218,2016-03-04,16.141
219,2016-03-05,16.473
220,2016-03-06,17.342
221,2016-03-07,17.164
222,2016-03-08,17.492
223,2016-03-09,17.867
224,2016-03-10,18.006
225,2016-03-11,18.682
226,2016-03-12,19.655
227,2016-03-13,20.15
228,2016-03-14,20.066
229,2016-03-15,17.572
230,2016-03-16,17.778
231,2016-03-17,18.039
232,2016-03-18,18.3
233,2016-03-19,18.652
234,2016-03-20,19.423
235,2016-03-21,19.269
236,2016-03-22,19.568
237,2016-03-23,18.766
238,2016-03-24,19.801
239,2016-03-25,20.872
240,2016-03-26,21.414
241,2016-03-27,21.977
242,2016-03-28,21.768
243,2016-03-29,22.514
244,2016-03-30,22.822
245,2016-03-31,23.889
246,2016-04-01,23.749
247,2016-04-02,23.52
248,2016-04-03,24.296
249,2016-04-04,25.246
250,2016-04-05,25.706
251,2016-04-06,25.667
252,2016-04-07,24.64
253,2016-04-08,26.14
254,2016-04-09,26.843
255,2016-04-10,27.084
256,2016-04-11,27.012
257,2016-04-12,26.095
258,2016-04-13,27.243
259,2016-04-14,27.545
260,2016-04-15,28.307
261,2016-04-16,28.881
262,2016-04-17,28.221
263,2016-04-18,29.524
264,2016-04-19,30.029
265,2016-04-20,30.156
266,2016-04-21,30.872
267,2016-04-22,29.74
268,2016-04-23,30.869
269,2016-04-24,30.604
270,2016-04-25,31.524
271,2016-04-26,31.493
272,2016-04-27,31.083
273,2016-04-28,32.024
274,2016-04-29,32.661
275,2016-04-30,33.709
276,2016-05-01,34.484
277,2016-05-02,32.281
278,2016-05-03,34.162
279,2016-05-04,34.166
280,2016-05-05,33.872
281,2016-05-06,34.081
282,2016-05-07,34.085
283,2016-05-08,34.463
284,2016-05-09,34.883
285,2016-05-10,35.703
286,2016-05-11,34.84
287,2016-05-12,34.609
288,2016-05-13,36.815
289,2016-05-14,36.846
290,2016-05-15,37.115
291,2016-05-16,37.377
292,2016-05-17,36.463
293,2016-05-18,37.901
294,2016-05-19,39.517
295,2016-05-20,40.048
296,2016-05-21,40.655
297,2016-05-22,40.059
298,2016-05-23,40.332
299,2016-05-24,41.105
300,2016-05-25,41.016
301,2016-05-26,41.95
302,2016-05-27,41.742
303,2016-05-28,42.704
304,2016-05-29,43.619
305,2016-05-30,43.392
306,2016-05-31,43.586
307,2016-06-01,42.0
308,2016-06-02,42.903
309,2016-06-03,44.992
310,2016-06-04,44.999
311,2016-06-05,44.881
312,2016-06-06,45.278
313,2016-06-07,46.207
314,2016-06-08,45.851
315,2016-06-09,48.158
316,2016-06-10,46.862
317,2016-06-11,46.817
318,2016-06-12,47.368
319,2016-06-13,49.146
320,2016-06-14,49.64
321,2016-06-15,49.734
322,2016-06-16,49.685
323,2016-06-17,48.375
324,2016-06-18,45.685
325,2016-06-19,49.439
326,2016-06-20,51.171
327,2016-06-21,49.999
328,2016-06-22,51.004
329,2016-06-23,53.457
330,2016-06-24,52.792
331,2016-06-25,53.446
332,2016-06-26,53.892
333,2016-06-27,55.306
334,2016-06-28,55.833
335,2016-06-29,54.938
336,2016-06-30,54.999
337,2016-07-01,55.25
338,2016-07-02,56.612
339,2016-07-03,57.749
340,2016-07-04,57.434
341,2016-07-05,58.422
342,2016-07-06,57.054
343,2016-07-07,57.701
344,2016-07-08,57.863
345,2016-07-09,56.397
346,2016-07-10,58.464
347,2016-07-11,59.261
348,2016-07-12,59.737
349,2016-07-13,59.851
350,2016-07-14,59.835
351,2016-07-15,58.712
352,2016-07-16,58.591
353,2016-07-17,59.611
354,2016-07-18,59.774
355,2016-07-19,60.393
356,2016-07-20,58.929
357,2016-07-21,59.763
358,2016-07-22,59.596
359,2016-07-23,60.797
360,2016-07-24,60.912
361,2016-07-25,58.041
362,2016-07-26,57.485
